SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6530,6530,8400,1870,77.7,35,161,111,7
Antioquia & Eje Cafetero,2614,2614,4550,1936,57.5,21,91,16,4
Zona Caribe,2015,2015,2400,385,84.0,23,47,13,3
"Santanderes, Boyaca y Cesar",1378,1378,1470,92,93.7,16,28,11,2
Zona Pacifico,3666,3666,4550,884,80.6,27,88,49,3
Zona Sur & Llanos,3369,3369,5150,1781,65.4,20,103,42,3
Total 6 zonas,19572,19572,26520,6948,73.8,,518,242,22

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2490,Business English 2,1,60,5,55,0,0
Bogota & Cundinamarca,C-2489,Business English 1,1,60,60,0,1,19
Bogota & Cundinamarca,C-2621,Manejo de Maquinas de Confeccion,2,120,120,0,2,1
Bogota & Cundinamarca,C-2552,Peinados y Trenzas,3,180,180,0,3,1
Bogota & Cundinamarca,C-2620,Profundizacion Costos para Emprendedores,5,250,13,237,0,0
Bogota & Cundinamarca,C-2559,Sistemas Nivel 2,4,240,240,0,4,1
Bogota & Cundinamarca,C-2616,Economia del Hogar,9,450,352,98,3,0
Bogota & Cundinamarca,C-2500,Sin Limites Virtual,2,100,23,77,0,0
Bogota & Cundinamarca,C-2580,Ingles Nivel 2,9,450,450,0,9,4
Bogota & Cundinamarca,C-2561,Portugues Nivel 1,3,180,180,0,3,9
Bogota & Cundinamarca,C-2502,Reposteria 2,2,100,100,0,2,0
Bogota & Cundinamarca,C-2540,Pintura en madera 1,3,180,147,33,1,0
Bogota & Cundinamarca,C-2739,Modisteria Reparacion y Modificacion de Prendas de Vestir,2,120,120,0,2,0
Bogota & Cundinamarca,C-2607,Familias Empresarias del Campo,5,250,55,195,0,0
Bogota & Cundinamarca,C-2568,Italiano Nivel 1,1,60,60,0,1,16
Bogota & Cundinamarca,C-2567,Italiano Nivel 2,2,120,120,0,2,0
Bogota & Cundinamarca,C-2562,Portugues Nivel 2,1,60,21,39,0,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,13,650,650,0,13,5
Bogota & Cundinamarca,C-2535,Salud y Bienestar para Ovinos y Caprinos,1,60,37,23,0,0
Bogota & Cundinamarca,C-2504,Reposteria 1,3,150,150,0,3,2
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,6,300,130,170,0,0
Bogota & Cundinamarca,C-2592,Frances Nivel 2,2,100,89,11,0,0
Bogota & Cundinamarca,C-2565,Modisteria (Faldas),2,120,120,0,2,5
Bogota & Cundinamarca,C-2564,Munecas de Trapo,2,120,120,0,2,2
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,7,350,241,109,1,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,5,300,300,0,5,0
Bogota & Cundinamarca,C-2610,Estrategias para la Busqueda de Empleo,7,350,77,273,0,0
Bogota & Cundinamarca,C-2593,Frances Nivel 1,4,200,200,0,4,16
Bogota & Cundinamarca,C-2566,Mi Negocio en Internet,4,200,25,175,0,0
Bogota & Cundinamarca,C-2539,Floristeria 1,2,120,120,0,2,2
Bogota & Cundinamarca,C-2617,Despertar Humano,10,500,318,182,2,0
Bogota & Cundinamarca,C-2581,Ingles Nivel 1,15,750,750,0,15,22
Bogota & Cundinamarca,C-2491,Comprension Lectora,10,500,500,0,10,2
